event_id,project_id,it_project_id,project_name,live_date,design_date,code_date,testing_date,acceptance_date,status,event_desc,date_created,date_updated,created_by,updated_by,deleted
c7218932ccf92809ff7ae2ab1d0a7b8d,662d3f7123478ed16f6505474424d9ee,568385,FOS - Migrating to Single Partition Pilots,2-Apr-17,,,,,Yellow,"1. Merge LUS Flight Movement activity into the LAA FOS partition
2. Transfer Crew Management responsibility for LUS crews to the LAA FOS Crew System
3. Segregate equipment across all Maintenance & Engineering applications
4. Identify and make changes needed to applications outside of FOS that are impacted directly or indirectly by merging the partitions 
5. Consolidate the Freight (FRT) partition for the Cargo Single Air Waybill
6. Increase Flight Hub's message transformation capacity in order to handle the additional US messages",,,1223,1223,0
b24711859abff7abeb0ef631012d7cea,662d3f7123478ed16f6505474424d9ee,612753,35/7 for Reserves - <FA FOS> Hours of service: 35 and 7 for reserves,1-Oct-15,,,,,Completed,Changes to FOS to be compliant with JCBA language,,,1223,1223,0
465c0e7f81bd771a89b5dc588572fc37,662d3f7123478ed16f6505474424d9ee,612754,Allow MU and OE for sick exchange - <FA FOS> Allow make up & optional exchange sequence to be removed as sick - 9.d  (automation),1-Feb-16,,,,,Not Started,Makeup and ...,,,1223,1223,0
dd120a9401fc61867c9842f870822688,662d3f7123478ed16f6505474424d9ee,612755,Benefits - <FA FOS> Benefits,1-Nov-15,,,,,Green,Changes to FOS to be compliant with JCBA language,,,1223,1223,0
0e5bf5d05bd7293344e19faee2a68e90,662d3f7123478ed16f6505474424d9ee,612756,Co-terminals - <FA FOS> Co-terminals,1-Feb-16,,,,,Not Started,Changes to FOS to be compliant with JCBA language,,,1223,1223,0
4f9dc80f60af4fb8539820cfe2d187e3,662d3f7123478ed16f6505474424d9ee,612757,Crew Portal - Implement the Crew Portal for LAA FA,1-Apr-16,,,,,Green,"Interface the FA Crew Portal to FOS and Flight HUB
Subtasks:
Source for FA names and job titles out of IDM
Changes based on JBCA and implementation of Crew Portal",,,1223,1223,0
6b4d4a325a64d6445733c2a345bd6131,662d3f7123478ed16f6505474424d9ee,612758,Deadhead - <FA FOS> Deadhead,1-Jan-16,,,,,Yellow,"Changes to FOS to be compliant with JCBA language. Below three pieces are included - 
 A Flight Attendant required by the Company to deadhead shall receive full pay and credit based on scheduled block time or actual flight time, whichever is greater.  Additionally, all premiums will apply to the deadhead.
Be paid and credited for the deadhead as if the Flight Attendant had flown the original scheduled deadhead.
Surface deadhead between airports which are included in the Ground Transportation Chart",,,1223,1223,0
92d7035c9f662c71648e307b7892e974,662d3f7123478ed16f6505474424d9ee,612759,DOTC - Implement a application that allows Crew Scheduling to assign open time to Line Holders based on requests,2-Jan-17,,,,,Not Started,"A post TTS process that matches open sequences with FA not successful in the TTS to get the sequence
Replaces unsuccessful bidders list and manual process of assigning open trips to FAs on standby shifts or RAPs",,,1223,1223,0
a4fa51ba170e7a922c0c07fb91208de9,662d3f7123478ed16f6505474424d9ee,612760,Double-ups - <FA FOS> Multiple codes in one day,1-Apr-16,,,,,Not Started,Changes to FOS to be compliant with JCBA language,,,1223,1223,0
c82d971ceb0ec46182840a0dd918858e,662d3f7123478ed16f6505474424d9ee,612761,Double-ups - <FA FOS> Scheduling Double-ups / multiple pairings,1-Apr-16,,,,,Not Started,Changes to FOS to be compliant with JCBA language,,,1223,1223,0
